name,address,website,postal_code,G3,G6,school_level
Aldborough Public School (Rodney),"1310 Innisfil Beach Road, Innisfil, Ontario, L9S4B7",http://alg.scdsb.on.ca/,L9S4B7,72.5,77.33333333333333,Elementary
Aldergrove Public School (Unionville),"11443 Furnival Rd, Rodney, Ontario, N0L2C0",http://www.tvdsb.ca/Aldborough.cfm,N0L2C0,72.5,77.33333333333333,Elementary
Aldershot Elementary School (Burlington),"150 Aldergrove Dr, Unionville, Ontario, L3R6Z8",http://aldergrove.ps.yrdsb.ca/,L3R6Z8,72.5,77.33333333333333,Elementary
Alexander Graham Bell Public School (AJAX),"50 Fairwood Place W, Burlington, Ontario, L7T1E5",http://ald.hdsb.ca/,L7T1E5,72.5,77.33333333333333,Elementary
Alexander Kuska KSG Catholic Elementary School (Welland),"25 HARKINS, AJAX, Ontario, L1T3T6",http://agbell.ddsbschools.ca/,L1T3T6,72.5,77.33333333333333,Elementary
Alexander Muir/Gladstone Ave Junior and Senior Public School (Toronto),"333 Rice Rd, Welland, Ontario, L3C2V9",http://portal.niagaracatholic.ca/elementary/alexanderkuska/,L3C2V9,72.5,77.33333333333333,Elementary
Alexander Muir Public School (Newmarket),"108 Gladstone Ave, Toronto, Ontario, M6J3L2",http://schoolweb.tdsb.on.ca/alexandermuirgladstone,M6J3L2,72.5,77.33333333333333,Elementary
Alexander Public School (Sudbury),"75 Ford Wilson Blvd, Newmarket, Ontario, L3X3G1",http://alexandermuir.ps.yrdsb.ca/,L3X3G1,72.5,77.33333333333333,Elementary
Alexander's Public School (BURLINGTON),"39 St Brendan St, Sudbury, Ontario, P3E1K3",http://www.rainbowschools.ca/schools/alexanderPS/index.php,P3E1K3,72.5,77.33333333333333,Elementary
Alexander Stirling Public School (Scarborough),"2223 Sutton Drive, BURLINGTON, Ontario, L7L0B9",http://alx.hdsb.ca/,L7L0B9,72.5,77.33333333333333,Elementary
Alexandra Community School (Owen Sound),"70 Fawcett Trail, Scarborough, Ontario, M1B3A9",http://schoolweb.tdsb.on.ca/alexanderstirling,M1B3A9,72.5,77.33333333333333,Elementary
Alexandra Public School (Lindsay),"1556 8th Ave E, Owen Sound, Ontario, N4K3B6",http://www.alx.bwdsb.on.ca/,N4K3B6,72.5,77.33333333333333,Elementary
Alexmuir Junior Public School (Scarborough),"65 Sussex St N, Lindsay, Ontario, K9V4H9",http://aps.tldsb.on.ca/,K9V4H9,72.5,77.33333333333333,Elementary
Algonquin Avenue Public School (Thunder Bay),"95 Alexmuir Blvd, Scarborough, Ontario, M1V1H6",http://schoolweb.tdsb.on.ca/alexmuir,M1V1H6,72.5,77.33333333333333,Elementary
Algonquin Public School (Woodstock),"160 South Algonquin Ave, Thunder Bay, Ontario, P7B4T1",https://algonquin.lakeheadschools.ca/,P7B4T1,72.5,77.33333333333333,Elementary
Algonquin Ridge Elementary School (Barrie),"59 Algonquin Rd, Woodstock, Ontario, N4T1R8",http://www.tvdsb.ca/Algonquin.cfm,N4T1R8,72.5,77.33333333333333,Elementary
Algonquin Road Public School (Sudbury),"191 Golden Meadow Rd, Barrie, Ontario, L4N9R6",http://alq.scdsb.on.ca/,L4N9R6,72.5,77.33333333333333,Elementary
Allan A Greenleaf (Waterdown),"2650 Algonquin Rd E, Sudbury, Ontario, P3E4X6",http://www.rainbowschools.ca/elementary/algonquin/index.php,P3E4X6,72.5,77.33333333333333,Elementary
Allan A Martin Senior Public School (Mississauga),"211 Parkside Drive, Waterdown, Ontario, L0R2H1",http://schools.hwdsb.on.ca/aagreenleaf/,L0R2H1,72.5,77.33333333333333,Elementary
Allandale Heights Public School (Barrie),"1390 Ogden Ave, Mississauga, Ontario, L5E2H8",http://schools.peelschools.org/1223/Pages/default.aspx,L5E2H8,72.5,77.33333333333333,Elementary
Allan Drive Middle School (Bolton),"124 Bayview Dr, Barrie, Ontario, L4N3P4",http://all.scdsb.on.ca/,L4N3P4,72.5,77.33333333333333,Elementary
Allenby Junior Public School (Toronto),"254 Allan Dr, Bolton, Ontario, L7E1R9",http://schools.peelschools.org/1468/Pages/default.aspx,L7E1R9,72.5,77.33333333333333,Elementary
Alliance French Immersion Public School (North Bay),"391 St Clements Ave, Toronto, Ontario, M5N1M2",http://schoolweb.tdsb.on.ca/allenby,M5N1M2,72.5,77.33333333333333,Elementary
Alliston Union Public School (Alliston),"700 Stones St, North Bay, Ontario, P1B6C1",http://www.nearnorthschools.ca/alliance/,P1B6C1,72.5,77.33333333333333,Elementary
Alloa Public School (Caledon),"211 Church Street, Alliston, Ontario, L9R0G3",http://alu.scdsb.on.ca/,L9R0G3,72.5,77.33333333333333,Elementary
All Saints Catholic Elementary School (Unionville),"12287 Mississauga Road, Caledon, Ontario, L7C0Y7",http://schools.peelschools.org/1457/Pages/default.aspx,L7C0Y7,72.5,77.33333333333333,Elementary
All Saints Catholic Intermediate School (Kanata),"130 Castlemore Ave, Unionville, Ontario, L6C2P9",http://ast.ycdsb.ca/,L6C2P9,72.5,77.33333333333333,Elementary
All Saints Catholic School (Etobicoke),"5115 Kanata Ave, Kanata, Ontario, K2K3K5",http://ash.ocsb.ca/,K2K3K5,72.5,77.33333333333333,Elementary
All Saints Catholic School (Mississauga),"1435 Royal York Rd, Etobicoke, Ontario, M9P3A7",http://allsaints.tcdsb.org/,M9P3A7,72.5,77.33333333333333,Elementary
All Saints Elementary Catholic School (Whitby),"4105 Colonial Dr, Mississauga, Ontario, L5L4E8",http://www.dpcdsb.org/ALLST,L5L4E8,72.5,77.33333333333333,Elementary
Alma Public School (Alma),"3001 Country Lane, Whitby, Ontario, L1P1M1",https://allsaints.dcdsb.ca/en/index.aspx,L1P1M1,72.5,77.33333333333333,Elementary
Almonte Intermediate School (Almonte),"Box 118, 12 Simpson St E, Alma, Ontario, N0B1A0",http://www.ugdsb.on.ca/AlmaPS/,N0B1A0,72.5,77.33333333333333,Elementary
Aloma Crescent Public School (Brampton),"126 Martin Street North, Almonte, Ontario, K0A1A0",http://almonte.ucdsb.on.ca/,K0A1A0,72.5,77.33333333333333,Elementary
A. Lorne Cassidy Elementary School (Stittsville),"57 Aloma Cres., Brampton, Ontario, L6T2N8",http://schools.peelschools.org/1406/Pages/default.aspx,L6T2N8,72.5,77.33333333333333,Elementary
ALPHA Alternative Junior School (Toronto),"27 Hobin St, Stittsville, Ontario, K2S1G8",https://alornecassidyes.ocdsb.ca/,K2S1G8,72.5,77.33333333333333,Elementary
ALPHA II Alternative School (Toronto),"20 Brant St, Toronto, Ontario, M5V2M1",http://schools.tdsb.on.ca/alpha/,M5V2M1,72.5,77.33333333333333,Elementary
Alpine Public School (Kitchener),"1141 Bloor St W, Toronto, Ontario, M6H1M9",https://www.app.edu.gov.on.ca/eng/sift/glossary.asp#sp,M6H1M9,72.5,77.33333333333333,Elementary
Alta Vista Public School (Ottawa),"75 Lucerne Dr, Kitchener, Ontario, N2E1B4",http://alp.wrdsb.ca/,N2E1B4,72.5,77.33333333333333,Elementary
